"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"99","MTS_10165","10165","10165","Main St & 30th St","32.69275093","-117.12929561","MTS","1.0","F-E/B","","","32.692746172204586","-117.12928371146546"
"100","MTS_10166","10166","10166","C St & 30th St","32.71680897","-117.13040045","MTS","1.0","M-Street-E/B","c_30st","","32.71680420758565","-117.13038855110736"
"101","MTS_10167","10167","10167","Beech St & Fern St","32.72122117","-117.12951136","MTS","1.0","F-E/B","","","32.72121640737396","-117.12949946618585"
"102","MTS_10168","10168","10168","Mira Mesa Bl & Marbury Av","32.91589478","-117.12997238","MTS","1.0","N-E/B","","","32.9158899946597","-117.12996046866762"
"103","MTS_10169","10169","10169","Adams Av & Boundary St","32.76283621","-117.12837192","MTS","1.0","N-E/B","","","32.76283144279721","-117.12836002060872"
"104","MTS_10171","10171","10171","Market St & 31st St","32.71157701","-117.12753276","MTS","1.0","N-E/B","","","32.71157224905323","-117.12752086981202"
"105","MTS_10176","10176","10176","Balboa Av & Ruffin Rd","32.82219862","-117.12874611","MTS","2.0","N-E/B","balruf","","32.82219383995762","-117.12873421071421"
"106","MTS_10177","10177","10177","Ocean View Bl & 32nd St","32.7011366","-117.12543617","MTS","1.0","N-E/B","","","32.70113183530819","-117.12542427439833"
"107","MTS_10178","10178","10178","Imperial Av & 32nd St","32.7063728","-117.12539389","MTS","1.0","N-E/B","imp32","","32.706368037141765","-117.12538200035507"
"108","MTS_10179","10179","10179","Market St & 32nd St","32.71159492","-117.12540024","MTS","1.0","N-E/B","","","32.7115901528022","-117.12538834661912"
"109","MTS_10180","10180","10180","Clairemont Mesa Bl & Ruffin Rd","32.83127549","-117.12701691","MTS","1.0","N-E/B","","","32.831270716739276","-117.12700500243601"
"110","MTS_10182","10182","10182","Camino Del Rio N & Mission City Pkwy","32.77551596","-117.12708963","MTS","1.0","N-E/B","mispky","","32.775511189376864","-117.12707773102427"
"111","MTS_10183","10183","10183","Clairemont Mesa Bl & Ruffin Rd","32.83132755","-117.12626541","MTS","0.0","F-E/B","","","32.831322775902386","-117.12625350424332"
"112","MTS_10184","10184","10184","Market St & 33rd St","32.71168209","-117.12240687","MTS","0.0","N-E/B","","","32.71167732776671","-117.12239497442783"
"113","MTS_10186","10186","10186","Ocean View Bl & 33rd St","32.70115313","-117.12271551","MTS","1.0","N-E/B","","","32.70114837266526","-117.12270361648059"
