,post_id,num_beds,num_baths,price,sqft,houseType,rentPeriod,parking,laundry,pets,smoking,air conditioning,wheelchair accessible,EV charging,furnished,lat,lon,tfidf_words
716,7456127628,2,1,2700.0,-1,condo,rent period: monthly,off-street parking,laundry on site,cats are OK - purrr,,,,,,43.6476812,-79.3921653,"['tucked', 'windansea', 'garden', 'quaint', 'maintained']"
717,7456134961,1,1,2960.0,7,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['mkatknx4', 'west', 'area9', 'ceilingsroof', 'wallhardwood']"
718,7456136715,1,1,2000.0,-1,condo,rent period: monthly,detached garage,w/d hookups,cats are OK - purrr,,,,,,38.51757915,-122.77099217131624,"['spac', 'bird', 'modern', '2nd', 'rock']"
719,7456138702,2,2,3379.0,-1,apartment,,detached garage,w/d in unit,,,,,,,32.764583,-117.196047,"['arrive', 'awd6khc5', 'private', 'balcony', 'handrails']"
720,7456139606,1,1,4040.0,-1,apartment,,off-street parking,w/d in unit,cats are OK - purrr,,,,EV charging,,32.863273895532096,-117.22894803658082,"['avalon', 'turnkey', 'convenience', 'surface', 'furnished']"
721,7456139849,3,2,4035.0,-1,,,,,,,,,,,32.806763,-117.149407,"['mesa', 'serra', 'kearny', 'chargersrecyclingclub', 'access24']"
722,7456150167,2,1,3800.0,-1,apartment,rent period: yearly,off-street parking,laundry on site,,no smoking,,,,,,,"['hunterprops', 'peek', 'ocean', 'remodeled', 'paring']"
723,7456159524,2,1,3015.0,-1,apartment,rent period: monthly,attached garage,laundry on site,cats are OK - purrr,no smoking,,,,,32.750507,-117.225997,"['palisades', 'loma', 'month', 'allowedincreased', 'adrian']"
724,7456160436,2,1.5,2885.0,-1,apartment,,street parking,laundry on site,cats are OK - purrr,no smoking,,,,,,,"['palisades', '00', '10', 'loma', 'month']"
725,7456160720,2,1.5,3430.0,-1,apartment,,street parking,w/d in unit,cats are OK - purrr,no smoking,,,,,32.750507,-117.225997,"['palisades', 'loma', 'adrian', 'allowedincreased', 'amount']"
726,7456161886,2,1.5,2960.0,-1,apartment,,carport,laundry on site,cats are OK - purrr,no smoking,,,,,,,"['palisades', '00', '10', 'loma', 'month']"
727,7456166713,2,2,4510.0,-1,apartment,rent period: monthly,detached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,,,46.3144754,11.0480288,"['lounge', 'bar', 'moroccan', 'winding', 'hilltop']"
728,7456167834,2,1,2995.0,800,apartment,,carport,laundry in bldg,cats are OK - purrr,no smoking,,,,,,,"['notes', 'iconic', 'hillcrest', 'nightlife', 'sought']"
